Customer_ID,Gender,Age,Children,Contract_Type,Payment_Method,Account_Length_(in_months),Account_Length_(in years),Mins,Extra_International_Charges,Monthly_Charge,Customer_Service_Calls,Avg_Monthly_GB_Download,Unlimited_Data_Plan,Phone_Number,Device_Protection_&_Online_Backup,Virtual_Assistant,Churn_Reason,Churn_Label
8372-OQFU,Female,48.0,465.0,One Year,Credit Card,17.0,,121.6,0.0,32.0,0.0,11.0,Yes,349-7693,No,,,NO
0689-NSNP,Female,39.0,247.0,Month-to-Month,Credit Card,,0.4166666666666667,20.0,0.0,8.0,0.0,13.0,Yes,408-8910,No,,,No
0051-DWVS,Male,73.0,349.0,Month-to-Month,Direct Debit,,1.25,103.5,259.0,36.0,4.0,4.0,Yes,347-3958,No,,Network reliability,Yes
2326-VYWK,Male,53.0,523.0,Month-to-Month,Direct Debit,26.0,,104.0,0.0,37.0,4.0,5.0,YES,346-9596,Yes,,Competitor made better offer,Yes
9593-ALKB,Male,21.0,542.0,Month-to-Month,Credit Card,2.0,,22.0,179.0,20.0,3.0,8.0,Yes,411-2284,No,,Don't know,Yes
6949-SJPA,Male,80.0,614.0,Month-to-Month,Direct Debit,15.0,,167.0,0.0,29.0,1.0,1.0,Yes,283-3866,No,,Competitor offered higher download speeds,Yes
9106-PRGY,Female,59.0,366.0,Two Year,Direct Debit,,5.833333333333333,911.6,145.6,9.0,0.0,0.0,No,378-9542,No,,,No
4319-BWGF,Female,37.0,309.0,Two Year,Credit Card,,5.583333333333333,602.3,0.0,8.0,2.0,0.0,No,325-1562,No,,,No
2167-ZSAV,Female,41.0,704.0,Month-to-Month,Credit Card,,2.8333333333333335,517.0,0.0,11.0,0.0,0.0,NO,357-6618,No,,,No
9195-JBMA,Male,78.0,538.0,Month-to-Month,Direct Debit,,4.416666666666667,264.8,0.0,43.0,0.0,3.0,Yes,242-9024,No,,,NO
2535-WFRA,Female,32.0,447.0,Month-to-Month,Credit Card,,2.5833333333333335,458.5,178.3,25.0,5.0,17.0,No,270-9642,Yes,,Competitor offered higher download speeds,Yes
3348-SKKJ,Male,23.0,896.0,Month-to-Month,Direct Debit,,1.0833333333333333,182.7,0.0,28.0,0.0,21.0,Yes,354-6942,No,,,No
7029-XDVM,Male,48.0,304.0,Month-to-Month,Paper Check,6.0,,46.9,0.0,18.0,4.0,10.0,Yes,328-3647,Yes,,Competitor made better offer,YES
9633-XEWF,Male,72.0,395.0,Two Year,Credit Card,,2.0,338.5,0.0,15.0,2.0,9.0,Yes,347-4626,Yes,,,No
5846-GACF,Female,23.0,345.0,One Year,CREDIT CARD,38.0,,189.8,0.0,24.0,1.0,19.0,Yes,382-9297,No,,,No
1117-EIHQ,Male,55.0,561.0,Two Year,Direct Debit,,6.083333333333333,586.4,106.6,9.0,0.0,0.0,No,397-3939,No,,,No
0986-DICX,Female,53.0,888.0,Month-to-Month,Paper Check,1.0,,15.0,0.0,21.0,1.0,5.0,YES,416-7393,No,,Competitor had better devices,Yes
5571-SUVC,Male,45.0,691.0,Month-to-Month,Direct Debit,,1.1666666666666667,214.9,48.5,34.0,4.0,10.0,Yes,380-9972,No,,Competitor had better devices,YES
9485-LDKN,Female,47.0,338.0,Month-to-Month,Credit Card,2.0,,21.1,0.0,19.0,2.0,2.0,Yes,375-2202,No,,,No
2838-ZFPU,Male,54.0,300.0,One Year,Direct Debit,54.0,,428.7,0.0,56.0,0.0,29.0,Yes,413-4831,No,,,No
5585-OOAV,Male,21.0,913.0,Month-to-Month,Credit Card,,1.8333333333333333,263.4,0.0,23.0,0.0,16.0,Yes,309-2392,No,,,NO
0690-ZRHW,Male,84.0,602.0,Month-to-Month,Credit Card,,5.75,617.1,0.0,47.0,0.0,5.0,YES,344-5206,Yes,,Competitor had better devices,Yes
0862-LBSM,Female,65.0,712.0,One Year,Credit Card,11.0,,103.5,0.0,30.0,0.0,5.0,Yes,375-2821,No,,,No
5554-UYCP,Female,78.0,400.0,One Year,Direct Debit,,1.75,250.6,0.0,32.0,0.0,5.0,No,414-2905,Yes,,,No
9961-GXPU,Female,63.0,549.0,One Year,Direct Debit,30.0,,296.5,84.0,55.0,5.0,1.0,No,344-2446,Yes,,Competitor made better offer,Yes
1161-HFXK,Male,54.0,692.0,Month-to-Month,Direct Debit,,2.5,148.2,211.5,50.0,0.0,5.0,Yes,407-1896,No,,,No
0931-AESW,Female,33.0,361.0,One Year,Direct Debit,,2.3333333333333335,392.2,70.7,34.0,0.0,35.0,YES,301-5639,No,,,No
3281-EOGN,Female,27.0,442.0,Month-to-Month,Credit Card,,1.4166666666666667,172.2,0.0,22.0,1.0,15.0,Yes,327-6052,No,,,No
2243-WVLD,Male,31.0,352.0,Month-to-Month,Credit Card,,0.25,48.3,0.0,26.0,0.0,14.0,Yes,348-3551,No,,,No
3613-SOGD,Female,41.0,496.0,One Year,Paper Check,,3.25,271.1,0.0,12.0,0.0,0.0,No,343-9645,No,,,No
1877-QGZE,Male,50.0,328.0,Month-to-Month,Credit Card,,1.8333333333333333,244.6,4.2,42.0,5.0,3.0,No,380-7277,No,,Competitor offered higher download speeds,Yes
4078-ZXCF,Male,22.0,985.0,Month-to-Month,Direct Debit,1.0,,4.0,0.0,10.0,0.0,0.0,No,392-5090,No,,,No
1712-CELM,Male,78.0,430.0,Two Year,Direct Debit,,1.0833333333333333,94.5,0.0,49.0,0.0,1.0,Yes,346-10229,No,,,No
8497-QVPT,Female,48.0,428.0,Month-to-Month,Credit Card,,0.4166666666666667,73.8,0.0,22.0,0.0,10.0,YES,330-2693,No,,,No
2398-OLSH,Male,42.0,434.0,Month-to-Month,Credit Card,,0.08333333333333333,11.0,4.6,25.0,5.0,7.0,YES,400-4344,No,,Extra data charges,Yes
2649-CMHD,Female,47.0,759.0,Month-to-Month,Direct Debit,,4.916666666666667,594.4,0.0,30.0,0.0,5.0,Yes,404-9348,No,,,No
8337-UMFN,Female,30.0,267.0,Two Year,Credit Card,58.0,,526.3,114.6,11.0,1.0,0.0,No,361-3779,No,,,No
3023-RXTT,Male,51.0,816.0,One Year,Credit Card,,0.8333333333333334,105.6,0.0,27.0,0.0,2.0,Yes,372-9976,No,,,No
7327-RNOH,Male,46.0,542.0,Month-to-Month,Direct Debit,,0.08333333333333333,10.0,0.0,13.0,0.0,4.0,No,389-7381,No,,,No
2712-DQPF,Male,64.0,502.0,One Year,Credit Card,,1.8333333333333333,242.8,67.5,31.0,2.0,4.0,Yes,357-6348,No,,Don't know,Yes
9755-JXEG,Female,43.0,666.0,Month-to-Month,Direct Debit,37.0,,519.8,72.2,47.0,0.0,5.0,Yes,266-3298,Yes,,,No
9113-GTPQ,Female,67.0,622.0,Two Year,Direct Debit,,0.16666666666666666,28.8,0.0,55.0,0.0,7.0,YES,325-8282,No,,,No
2087-PXYY,Male,51.0,298.0,Month-to-Month,Paper Check,,0.08333333333333333,10.0,5.6,9.0,0.0,0.0,No,313-1539,No,,Service dissatisfaction,Yes
0308-GIFT,Female,56.0,412.0,Month-to-Month,Direct Debit,41.0,,448.3,0.0,20.0,0.0,6.0,Yes,345-2265,No,,,No
5445-UARX,Female,69.0,886.0,One Year,Credit Card,,4.5,215.3,0.0,41.0,0.0,9.0,Yes,342-3930,No,,,No
7401-ADOZ,Female,44.0,633.0,Two Year,Direct Debit,,6.083333333333333,726.4,346.8,52.0,2.0,13.0,Yes,416-5261,No,,,No
5520-IBBZ,Female,56.0,545.0,Two Year,Credit Card,,3.75,679.0,0.0,21.0,0.0,3.0,Yes,307-4181,Yes,,Network reliability,Yes
4261-WUJC,Female,67.0,696.0,Month-to-Month,Direct Debit,1.0,,16.0,6.6,10.0,4.0,0.0,No,415-8164,No,,Limited range of services,Yes
1744-DOKR,Female,60.0,778.0,Two Year,Credit Card,60.0,,779.1,204.0,13.0,0.0,0.0,No,303-5350,No,,,No
1767-DYGM,Female,33.0,610.0,Month-to-Month,Direct Debit,21.0,,318.2,0.0,17.0,0.0,4.0,Yes,237-5785,Yes,,,NO
6086-LASP,Female,67.0,584.0,One Year,Direct Debit,53.0,,263.9,0.0,65.0,0.0,4.0,No,409-3674,Yes,,,No
2162-DCFP,Male,25.0,665.0,One Year,Direct Debit,31.0,,462.9,0.0,6.0,0.0,0.0,No,381-7417,No,,,NO
8951-HHTR,Female,55.0,207.0,Month-to-Month,Direct Debit,10.0,,115.3,0.0,43.0,4.0,4.0,Yes,332-8764,No,,Competitor made better offer,Yes
1575-VAUH,Female,54.0,345.0,One Year,Direct Debit,,5.916666666666667,1140.8,307.7,52.0,0.0,1.0,Yes,332-5582,Yes,,,NO
6445-MGCP,Female,42.0,381.0,Month-to-Month,Direct Debit,36.0,,213.1,0.0,34.0,4.0,7.0,Yes,308-2502,Yes,,Limited range of services,Yes
8049-VCRN,Male,23.0,510.0,Month-to-Month,Direct Debit,2.0,,22.6,5.3,42.0,1.0,24.0,Yes,330-6630,No,,,No
5045-DXQX,Male,37.0,434.0,One Year,Credit Card,,0.8333333333333334,140.4,45.7,10.0,0.0,0.0,No,373-4915,No,,,No
0077-XCYG,Female,58.0,322.0,Two Year,Credit Card,,2.6666666666666665,225.0,133.3,15.0,0.0,0.0,NO,389-4602,No,,,No
2799-GVQU,Female,37.0,507.0,One Year,Credit Card,,2.0,340.6,0.0,11.0,0.0,0.0,No,305-7675,No,,,No
0351-PAJH,Female,35.0,627.0,One Year,Paper Check,47.0,,187.8,0.0,9.0,0.0,0.0,No,372-7326,No,,,NO
2183-AYUA,Male,81.0,541.0,Month-to-Month,Direct Debit,12.0,,84.5,0.0,52.0,5.0,5.0,Yes,348-8721,Yes,,Competitor made better offer,Yes
1296-YTID,Male,45.0,719.0,Two Year,Direct Debit,73.0,,364.6,279.8,57.0,0.0,5.0,Yes,406-6669,Yes,,,No
3994-UIKI,Female,35.0,956.0,Two Year,Direct Debit,,5.416666666666667,325.9,0.0,35.0,0.0,13.0,YES,329-10290,Yes,,,No
4809-TVPO,Male,65.0,560.0,Month-to-Month,Credit Card,22.0,,258.3,0.0,36.0,0.0,2.0,Yes,348-3193,Yes,,,No
6830-VSJJ,Male,33.0,396.0,Month-to-Month,Direct Debit,,0.16666666666666666,20.1,0.0,27.0,0.0,25.0,YES,420-1383,Yes,,,NO
0803-WVCJ,Female,22.0,981.0,Month-to-Month,Credit Card,1.0,,7.0,135.3,31.0,1.0,15.0,YES,403-6419,No,,Poor expertise of online support,Yes
4552-RRII,Female,32.0,822.0,Two Year,Direct Debit,,6.0,433.6,0.0,42.0,1.0,4.0,Yes,269-7439,Yes,,,No
9137-PUYU,Male,43.0,362.0,Two Year,Credit Card,52.0,,465.0,0.0,10.0,1.0,0.0,No,324-3604,No,,,NO
0927-IILK,Male,36.0,470.0,Two Year,Credit Card,33.0,,163.0,101.2,10.0,1.0,0.0,No,396-2867,No,,,No
2875-MMJS,Female,24.0,415.0,Month-to-Month,Paper Check,68.0,,406.4,0.0,20.0,0.0,30.0,Yes,370-8463,No,,,No
1854-JEXC,Female,44.0,549.0,Two Year,Credit Card,,6.0,716.5,230.4,44.0,0.0,13.0,Yes,284-9783,Yes,,,No
3378-ESJD,Male,35.0,358.0,Two Year,Credit Card,72.0,,360.6,203.4,67.0,0.0,9.0,YES,361-2924,Yes,,,No
4505-OCXZ,Male,37.0,847.0,Two Year,Direct Debit,,5.083333333333333,673.5,0.0,20.0,0.0,13.0,Yes,415-8780,Yes,,,NO
3163-BOSK,Male,38.0,975.0,Two Year,Direct Debit,54.0,,642.7,0.0,43.0,0.0,1.0,Yes,409-8743,Yes,,,No
1548-AFMK,Female,43.0,329.0,Two Year,Credit Card,66.0,,664.1,0.0,7.0,0.0,0.0,No,334-5409,No,,,No
0225-SXMU,Male,23.0,952.0,Month-to-Month,Direct Debit,,0.3333333333333333,22.9,3.5,37.0,4.0,10.0,YES,392-3813,Yes,,Competitor had better devices,Yes
3425-HLPW,Female,31.0,289.0,Month-to-Month,Direct Debit,3.0,,11.6,0.0,29.0,1.0,12.0,Yes,366-7069,No,,Don't know,Yes
8600-YQVP,Female,42.0,392.0,One Year,Credit Card,,5.25,375.1,0.0,46.0,3.0,6.0,Yes,412-1076,Yes,,Competitor had better devices,Yes
0968-PJPX,Male,38.0,836.0,One Year,Direct Debit,41.0,,648.5,0.0,21.0,1.0,4.0,Yes,373-3538,Yes,,Attitude of support person,Yes
0322-BDAK,Male,82.0,282.0,Two Year,Direct Debit,,4.583333333333333,220.1,167.8,48.0,0.0,5.0,Yes,296-9824,Yes,,,No
2004-DVMV,Female,58.0,370.0,One Year,Credit Card,60.0,,239.1,0.0,29.0,0.0,5.0,NO,311-8986,Yes,,,No
8914-ITGG,Male,54.0,253.0,Two Year,Direct Debit,,6.083333333333333,944.7,438.0,42.0,2.0,15.0,No,233-5890,Yes,,,No
7767-FDII,Male,83.0,389.0,Two Year,Direct Debit,,2.6666666666666665,444.8,0.0,52.0,0.0,1.0,Yes,394-8861,Yes,,,No
2757-NSCZ,Female,69.0,742.0,One Year,Direct Debit,,0.5,70.9,0.0,43.0,0.0,9.0,Yes,406-2752,No,,,No
1737-XQPV,Female,63.0,946.0,One Year,Credit Card,,3.25,549.6,0.0,14.0,0.0,9.0,Yes,315-5123,No,,,No
4150-OBOZ,Female,24.0,532.0,Month-to-Month,Credit Card,,0.6666666666666666,65.3,0.0,6.0,0.0,0.0,No,304-8408,No,,,No
7567-CCTC,Female,72.0,546.0,Month-to-Month,Direct Debit,1.0,,10.0,3.5,30.0,3.0,2.0,Yes,417-1488,No,,Poor expertise of online support,Yes
5867-CALM,Male,60.0,569.0,Month-to-Month,Direct Debit,,2.4166666666666665,289.0,0.0,29.0,0.0,3.0,No,358-3114,No,,,No
2291-SBUJ,Male,74.0,416.0,Month-to-Month,Direct Debit,,0.3333333333333333,45.8,0.0,40.0,0.0,6.0,Yes,264-3874,No,,,No
4037-ICOU,Male,44.0,221.0,One Year,Direct Debit,,4.416666666666667,690.7,0.0,47.0,0.0,6.0,Yes,355-9475,Yes,,,No
5398-DIKE,Female,25.0,729.0,Two Year,Paper Check,,5.333333333333333,512.1,0.0,32.0,2.0,21.0,Yes,336-9273,Yes,,,NO
7900-OZER,Female,48.0,560.0,One Year,Direct Debit,,5.75,895.1,0.0,27.0,0.0,5.0,No,411-7649,No,,,No
1056-ZSEU,Female,56.0,551.0,Month-to-Month,Paper Check,,1.25,213.5,0.0,53.0,0.0,1.0,Yes,404-3238,Yes,,,No
9622-BKWV,Female,27.0,300.0,Two Year,Direct Debit,,6.083333333333333,732.4,0.0,52.0,0.0,14.0,YES,305-7479,Yes,,,No
1640-SIYF,Male,42.0,718.0,One Year,Direct Debit,64.0,,578.6,0.0,33.0,2.0,4.0,YES,389-6158,Yes,,Network reliability,Yes
5707-SGWL,Male,68.0,394.0,Month-to-Month,Direct Debit,1.0,,6.0,6.3,10.0,4.0,2.0,Yes,278-8790,No,,Lack of self-service on Website,Yes
3218-MOPK,Male,30.0,869.0,Month-to-Month,Credit Card,11.0,,175.2,22.2,35.0,4.0,21.0,Yes,303-10196,No,,Attitude of support person,YES
1874-MSLN,Male,34.0,527.0,Month-to-Month,Credit Card,4.0,,33.0,0.0,15.0,0.0,4.0,Yes,334-2577,No,,,NO
7111-ESQL,Female,75.0,640.0,Month-to-Month,Direct Debit,37.0,,149.1,74.0,30.0,0.0,9.0,Yes,320-3378,No,,Don't know,YES
7396-JTUO,Female,53.0,628.0,Month-to-Month,Direct Debit,1.0,,10.0,0.0,56.0,2.0,3.0,Yes,369-8574,No,,Competitor offered more data,YES
5222-PFCL,Female,32.0,840.0,Month-to-Month,Credit Card,7.0,,67.8,0.0,15.0,0.0,5.0,Yes,353-5320,No,,,NO
2236-LFDS,Male,68.0,593.0,Month-to-Month,Direct Debit,20.0,,79.5,32.9,40.0,4.0,5.0,YES,350-1422,No,,Competitor had better devices,Yes
3923-DZKT,Female,33.0,279.0,Two Year,Credit Card,22.0,,154.0,33.9,9.0,0.0,0.0,No,375-8934,No,,,No
3933-ANQN,Female,41.0,282.0,Two Year,Credit Card,,0.5833333333333334,58.1,0.0,10.0,0.0,0.0,No,305-9112,No,,,No
7560-EVFU,Male,62.0,383.0,One Year,Direct Debit,,4.25,257.4,257.6,8.0,1.0,0.0,No,408-6621,No,,,No
9570-IFVO,Male,57.0,614.0,Month-to-Month,Direct Debit,,0.25,22.4,11.3,40.0,2.0,11.0,YES,343-7271,Yes,,Attitude of service provider,YES
7832-LUDO,Female,38.0,583.0,Two Year,Credit Card,,2.5833333333333335,125.8,0.0,11.0,0.0,0.0,No,286-5152,No,,,NO
6778-TWEG,Female,43.0,631.0,Two Year,Credit Card,13.0,,93.7,0.0,10.0,1.0,0.0,No,317-6682,No,,,NO
2693-SKPV,Female,68.0,338.0,Two Year,Credit Card,70.0,,982.1,0.0,25.0,0.0,7.0,Yes,336-3738,Yes,,,No
9663-FZPP,Female,40.0,666.0,Two Year,Credit Card,,6.166666666666667,444.5,0.0,12.0,0.0,0.0,No,292-1923,No,,,No
2940-QHVU,Female,42.0,506.0,Month-to-Month,Paper Check,3.0,,16.8,0.0,19.0,0.0,4.0,YES,362-9895,No,,Competitor offered higher download speeds,Yes
8689-TRGU,Female,72.0,406.0,Two Year,Paper Check,32.0,,421.3,0.0,50.0,0.0,2.0,Yes,349-9246,Yes,,,NO
2941-GGHD,Male,25.0,892.0,Month-to-Month,Direct Debit,,4.333333333333333,568.1,0.0,44.0,0.0,17.0,YES,298-4520,No,,,No
6361-SQEB,Male,56.0,227.0,Month-to-Month,Credit Card,4.0,,23.9,0.0,24.0,0.0,11.0,YES,371-5929,No,,,No
5058-KIOU,Male,57.0,342.0,Month-to-Month,Direct Debit,,0.08333333333333333,12.0,4.4,10.0,5.0,0.0,No,349-6464,No,,Attitude of service provider,Yes
9879-PIWX,Female,36.0,665.0,Month-to-Month,Direct Debit,26.0,,204.2,0.0,33.0,0.0,5.0,Yes,372-9875,No,,,NO
7456-KXWM,Female,30.0,228.0,Month-to-Month,Credit Card,,0.3333333333333333,56.7,0.0,7.0,0.0,0.0,No,285-1484,No,,,No
1930-FDBX,Female,39.0,733.0,Month-to-Month,Credit Card,,0.25,18.5,5.9,13.0,0.0,0.0,No,420-9838,No,,,No
2038-ZQCC,Female,35.0,525.0,Two Year,Direct Debit,,5.916666666666667,285.8,211.6,45.0,1.0,1.0,YES,420-9575,Yes,,,No
5753-KHZU,Female,35.0,930.0,One Year,Credit Card,,4.25,562.4,0.0,57.0,0.0,2.0,Yes,312-10161,No,,,No
3200-EJLM,Male,21.0,807.0,Two Year,Direct Debit,,3.9166666666666665,329.5,324.3,9.0,1.0,0.0,No,369-2960,No,,,No
4288-ZNZC,Male,67.0,310.0,Two Year,Direct Debit,,6.0,864.6,0.0,47.0,0.0,5.0,No,366-4287,Yes,,,No
8572-OAAB,Male,29.0,938.0,Month-to-Month,Direct Debit,,4.5,803.4,0.0,51.0,0.0,15.0,Yes,351-6574,Yes,,Attitude of service provider,Yes
1032-WYON,Female,47.0,269.0,Two Year,Direct Debit,,1.9166666666666667,234.7,0.0,8.0,0.0,0.0,No,388-4282,No,,,No
2211-MSNF,Female,69.0,341.0,Two Year,DIRECT DEBIT,56.0,,731.3,0.0,34.0,0.0,5.0,Yes,303-2512,Yes,,,No
2104-ORNT,Female,54.0,397.0,Two Year,Direct Debit,,5.916666666666667,1143.1,0.0,14.0,2.0,0.0,No,337-4403,No,,,No
2868-XYKV,Female,67.0,555.0,One Year,DIRECT DEBIT,63.0,,883.4,0.0,40.0,1.0,7.0,Yes,357-5784,Yes,,,No
9294-MVLK,Female,36.0,391.0,Two Year,Direct Debit,68.0,,948.4,0.0,31.0,0.0,9.0,Yes,361-4910,No,,,No
6718-XPQS,Male,41.0,735.0,One Year,Paper Check,54.0,,809.0,163.4,17.0,0.0,5.0,Yes,338-7120,No,,,No
8754-CRSN,Female,49.0,843.0,Month-to-Month,Paper Check,,2.4166666666666665,202.1,0.0,9.0,0.0,0.0,No,418-6512,No,,,No
4433-EHPQ,Male,57.0,820.0,One Year,Paper Check,,1.75,126.7,0.0,12.0,0.0,0.0,No,377-5043,No,,,NO
2208-PXKF,Female,62.0,929.0,Month-to-Month,Direct Debit,60.0,,893.9,108.9,21.0,5.0,2.0,Yes,387-3332,No,,Competitor offered more data,Yes
3212-TFMM,Male,38.0,737.0,One Year,Credit Card,33.0,,262.6,0.0,43.0,0.0,8.0,Yes,361-3337,Yes,,,No
5415-USBU,Female,69.0,347.0,One Year,Credit Card,,2.5833333333333335,470.3,0.0,26.0,0.0,11.0,YES,292-9346,Yes,,,No
9179-UJEU,Male,39.0,413.0,One Year,Credit Card,,2.3333333333333335,443.6,0.0,8.0,0.0,0.0,NO,234-7735,No,,,No
4053-BZIM,Female,51.0,319.0,Two Year,Credit Card,41.0,,408.3,0.0,7.0,0.0,0.0,No,307-4696,No,,,No
3842-ICOT,Male,54.0,449.0,Month-to-Month,Credit Card,5.0,,54.7,0.0,47.0,0.0,3.0,Yes,358-2859,No,,,No
4973-QERT,Female,76.0,920.0,One Year,Direct Debit,,4.833333333333333,349.9,0.0,62.0,2.0,4.0,No,345-8433,Yes,,,No
4305-TQVT,Male,67.0,656.0,Two Year,Credit Card,,4.333333333333333,523.6,0.0,21.0,0.0,5.0,Yes,367-1398,No,,,No
3368-YEQV,Female,57.0,295.0,Month-to-Month,Credit Card,13.0,,128.7,0.0,30.0,0.0,5.0,No,373-7037,No,,,NO
5529-SUUI,Female,50.0,215.0,One Year,Paper Check,,1.4166666666666667,276.5,0.0,35.0,1.0,8.0,Yes,344-9302,Yes,,,No
6399-HUHA,Male,54.0,242.0,Month-to-Month,Direct Debit,1.0,,14.0,0.0,36.0,0.0,3.0,Yes,330-4978,No,,Attitude of support person,Yes
2821-IXZZ,Male,46.0,861.0,Month-to-Month,Credit Card,8.0,,52.5,0.0,16.0,1.0,3.0,Yes,253-7526,No,,,No
8829-VSVA,Female,23.0,947.0,Two Year,Credit Card,69.0,,1033.1,0.0,15.0,0.0,0.0,No,365-2341,No,,,No
5175-QFBI,Male,43.0,962.0,Two Year,Direct Debit,,5.333333333333333,965.4,0.0,49.0,2.0,19.0,Yes,394-9220,Yes,,,NO
3104-WNUS,Female,34.0,267.0,One Year,Credit Card,,4.75,632.2,112.1,69.0,0.0,7.0,YES,402-7626,Yes,,,No
0036-XKEJ,Female,67.0,932.0,Two Year,Direct Debit,,2.1666666666666665,103.0,0.0,36.0,2.0,6.0,Yes,308-1841,Yes,,,NO
2964-QAIF,Female,37.0,679.0,Two Year,Direct Debit,,5.916666666666667,1143.8,0.0,29.0,0.0,3.0,Yes,371-1514,Yes,,,No
6928-OFZX,Female,37.0,422.0,One Year,Credit Card,,4.5,432.0,0.0,31.0,0.0,4.0,YES,325-5402,No,,,No
6813-LUJE,Female,67.0,335.0,Two Year,Credit Card,52.0,,258.6,0.0,44.0,0.0,4.0,Yes,339-1330,Yes,,,No
2801-HNDY,Female,51.0,464.0,Month-to-Month,Direct Debit,1.0,,16.0,11.0,12.0,4.0,0.0,No,308-3990,No,,Price too high,Yes
3083-BWCS,Female,56.0,693.0,One Year,Credit Card,,1.0,142.3,0.0,8.0,0.0,0.0,No,365-9696,No,,,No
9447-MEKT,Male,28.0,897.0,Month-to-Month,Direct Debit,,2.25,409.6,0.0,12.0,0.0,0.0,No,377-8067,No,,,No
3440-FOHR,Male,41.0,599.0,Month-to-Month,Credit Card,,0.3333333333333333,28.7,6.8,25.0,0.0,12.0,YES,408-5183,No,,,No
8450-NBSE,Female,51.0,531.0,One Year,Credit Card,,2.0833333333333335,225.8,94.2,42.0,2.0,4.0,Yes,328-7252,Yes,,Competitor offered more data,Yes
